iter	RMSE
187	13260.87902
188	13212.12517
189	13194.80113
190	13138.12391
191	13072.57834
192	13030.9652
193	12998.55154
194	12944.67372
195	12901.50534
196	12852.11714
197	12833.0396
198	12784.19112
199	12752.80189
200	12726.42918
201	12698.40244
202	12650.8938
203	12591.85566
204	12549.62536
205	12519.69551
206	12464.91082
207	12404.9962
208	12387.33965
209	12343.9052
210	12295.64624
211	12249.28707
212	12200.53522
213	12177.93087
214	12149.9623
215	12120.4267
216	12083.55979
217	12051.63324
218	12024.68073
219	11986.82297
220	11949.94015
221	11907.59664
222	11864.09636
223	11823.18926
224	11777.13414
225	11743.85589
226	11706.50345
227	11666.03763
228	11627.09855
229	11594.50942
230	11555.74248
231	11518.88359
232	11480.0602
233	11439.64775
234	11407.10734
235	11372.2879
236	11329.54429
237	11296.88468
238	11263.08446
239	11232.49068
240	11186.32571
241	11170.27222
242	11136.98799
243	11111.93718
244	11065.52761
245	11046.01866
246	11028.35175
247	11009.35692
248	10975.67129
249	10952.3797
250	10933.98089
251	10903.25108
252	10868.26697
253	10847.54991
254	10817.86331
255	10784.6271
256	10747.62574
257	10710.01623
258	10665.33704
259	10634.91351
260	10601.75618
261	10572.87593
262	10550.90837
263	10523.7923
264	10494.16007
265	10462.78419
266	10440.44744
267	10401.22711
268	10382.94243
269	10357.06314
270	10337.20243
271	10301.15374
272	10272.81946
273	10236.67792
274	10215.7402
275	10190.53937
276	10170.72667
277	10139.38251
278	10111.42213
279	10083.40721
280	10056.48721
281	10036.41032
282	10005.27652
283	9980.980221
284	9963.360724
285	9936.128978
286	9904.591019
287	9886.05925
288	9870.234293
289	9847.357463
290	9824.570036
291	9796.186923
292	9766.634866
293	9748.899879
294	9722.429205
295	9694.679277
296	9675.011793
297	9645.251463
298	9626.004195
299	9598.92777
300	9583.314899
301	9561.986539
302	9545.899985
303	9530.889834
304	9504.262531
305	9474.289815
306	9445.844988
307	9426.718223
308	9401.187846
309	9381.487136
310	9359.992636
311	9336.702245
312	9317.080836
313	9304.02311
314	9279.582596
315	9263.578683
316	9247.037406
317	9223.144807
318	9197.895326
319	9174.777608
320	9159.304792
321	9144.632328
322	9123.181926
323	9097.608854
324	9079.005042
325	9060.396297
326	9033.99511
327	9012.868872
328	8998.155836
329	8983.092704
330	8961.079883
331	8938.755516
332	8915.776996
333	8896.595337
334	8876.651093
335	8857.152004
336	8838.227243
337	8826.353871
338	8793.246659
339	8772.786417
340	8757.558244
341	8736.193847
342	8712.356649
343	8694.972221
344	8676.930378
345	8654.239038
346	8637.995551
347	8621.574492
348	8608.634343
349	8592.599407
350	8573.303017
351	8557.145178
352	8540.324496
353	8525.555955
354	8506.970073
355	8489.898244
356	8472.224152
357	8456.906334
358	8441.592439
359	8427.479975
360	8404.207133
361	8386.360154
362	8369.317226
363	8355.315613
364	8338.829161
365	8326.73414
366	8308.165663
367	8295.431925
368	8280.745253
369	8262.58687
370	8242.426228
371	8225.665052
372	8215.352452
373	8198.045698
374	8180.257123
375	8165.640219
376	8142.811873
377	8130.097771
378	8121.708244
379	8109.715074
380	8095.881651
381	8081.835964
382	8071.106181
383	8055.730801
384	8038.541693
385	8026.974228
386	8008.934881
387	7992.684226
388	7975.417037
389	7962.286365
390	7944.452339
391	7932.271929
392	7920.753651
393	7904.862821
394	7892.650384
395	7878.762226
396	7866.225471
397	7851.660676
398	7840.176368
399	7824.442504
400	7808.195579
401	7794.82833
402	7781.806916
403	7773.229574
404	7759.838219
405	7749.283627
406	7732.872892
407	7722.111774
408	7708.142698
409	7694.383997
410	7680.552538
411	7668.257311
412	7655.387966
413	7642.349821
414	7631.166311
415	7622.744269
416	7610.796317
417	7594.535666
418	7581.814533
419	7568.826492
420	7553.564888
421	7541.333951
422	7529.955545
423	7516.320547
424	7503.729432
425	7494.00233
426	7482.784756
427	7473.366332
428	7465.64406
429	7452.368201
430	7441.93797
431	7430.757516
432	7420.139316
433	7402.544798
434	7391.361195
435	7382.789457
436	7371.826759
437	7364.658652
438	7347.886045
439	7336.437484
440	7327.254582
441	7310.528536
442	7298.515076
443	7283.710306
444	7271.366793
445	7257.870078
446	7249.8857
447	7235.403409
448	7221.717596
449	7213.828089
450	7202.807064
451	7191.832135
452	7175.748983
453	7157.603999
454	7147.637052
455	7137.024856
456	7124.046707
457	7112.12975
458	7103.102368
459	7090.049412
460	7078.896761
461	7065.646691
462	7055.683505
463	7044.028122
464	7034.748627
465	7026.012849
466	7014.332267
467	7000.174451
468	6992.025067
469	6981.15237
470	6973.84685
471	6961.719142
472	6950.061105
473	6939.678011
474	6933.049948
475	6920.950002
476	6908.377069
477	6900.253336
478	6893.430541
479	6883.535763
480	6872.027103
481	6861.90823
482	6851.990765
483	6842.251123
484	6834.419264
485	6825.089121
486	6814.33567
487	6806.025645
488	6795.747709
489	6787.582347
490	6777.663478
491	6767.37896
492	6759.909851
493	6750.550951
494	6742.191057
495	6734.577899
496	6726.225313
497	6714.844985
498	6704.445478
499	6692.753433
